,artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Spotify ID,path
272,Claptu,sad octopus,17.28,11.6,34.28,26.49,57.53,4.63,1.19,2.23,3.26,6IGd96b2eVkKVhwCW1NJ1e,tracks/6IGd96b2eVkKVhwCW1NJ1e.mp3
273,Claptu,Aper,14.92,11.8,31.8,39.44,57.84,7.12,0.0,9.16,0.8,4tC89UWVzU3PqdqdiQbAdo,tracks/4tC89UWVzU3PqdqdiQbAdo.mp3
274,DECAP,Panther,12.35,16.35,0.48,2.0,5.0,24.78,12.61,49.04,0.0,1WmdcotlVastYfmwlvK7x2,tracks/1WmdcotlVastYfmwlvK7x2.mp3
275,Dexter,Everyday Like This,11.95,1.03,1.86,8.38,9.38,27.0,9.41,17.89,1.05,1IjtbDa43lCjIbClrprdrP,tracks/1IjtbDa43lCjIbClrprdrP.mp3
276,Dj Shadow,Building Steam With A Grain of Salt,9.34,12.38,6.97,6.28,9.72,20.0,15.66,40.24,5.83,4cucslsiEgezV2o900Ykg3,tracks/4cucslsiEgezV2o900Ykg3.mp3
279,Idealism,controlla,22.07,8.81,37.48,29.96,56.7,11.89,3.26,0.0,12.48,7woCxOw0jmj65ohlQ3x0tH,tracks/7woCxOw0jmj65ohlQ3x0tH.mp3
280,Joey Pecoraro,Your Favorite Place,25.81,34.19,22.94,41.84,65.16,21.9,8.9,9.45,2.35,2p6es5NEF5CBRrKC1lJHri,tracks/2p6es5NEF5CBRrKC1lJHri.mp3
281,Lord Finesse,Midas Era,19.5,16.62,12.96,4.31,29.88,39.08,15.77,22.23,1.12,6v0AYQ5YoF51yzGY0v0Dyg,tracks/6v0AYQ5YoF51yzGY0v0Dyg.mp3
283,Philanthrope,pueblo,13.0,18.15,23.67,17.94,44.06,10.91,3.85,7.24,3.85,3oYUtjjvbSxN40CQ71ZvTd,tracks/3oYUtjjvbSxN40CQ71ZvTd.mp3
285,Suff Daddy,K C Vodka,0.0,5.57,1.48,3.33,13.29,18.67,10.71,25.48,3.43,701ScIvdwIVub5swI6ObLG,tracks/701ScIvdwIVub5swI6ObLG.mp3
286,The Deli,5:32pm,15.27,16.04,38.54,27.54,57.15,13.42,1.77,10.96,0.0,7qrBYrivpvfXUPBMmqh3dA,tracks/7qrBYrivpvfXUPBMmqh3dA.mp3
287,Tom Doolie,Blue Book,15.64,12.56,34.47,28.44,48.58,9.31,0.0,8.14,3.71,3E4LT4SvrEhGKIzyAeezEa,tracks/3E4LT4SvrEhGKIzyAeezEa.mp3
289,No Spirit,Glowing Lights,6.43,15.32,19.16,20.65,52.92,3.16,4.59,5.54,5.78,3KunPHIvhxrUaHny2Z1J9w,tracks/3KunPHIvhxrUaHny2Z1J9w.mp3
290,Rancid,Time Bomb,5.06,3.75,15.94,1.62,5.06,34.81,24.19,21.44,1.62,41kg2RvdwBuIv0OPpvBS4v,tracks/41kg2RvdwBuIv0OPpvBS4v.mp3
291,Amy Winehouse,I Heard Love Is Blind,24.73,13.09,17.73,26.45,40.36,31.55,2.18,3.64,5.91,3Li4nWTnkUu19vxkhNW9td,tracks/3Li4nWTnkUu19vxkhNW9td.mp3
292,Madeleine Peyroux,To Love You All Over Again,22.33,21.25,31.0,25.58,41.75,10.08,7.17,0.75,23.17,4EPwpBN0t11bIxjsAI8oaF,tracks/4EPwpBN0t11bIxjsAI8oaF.mp3
294,Paradise Lost,Faith Divides Us - Death Unites Us,13.84,17.26,9.79,3.89,6.74,13.16,37.32,46.58,17.89,5gOjvocmJZQ05QBSE9xIkR,tracks/5gOjvocmJZQ05QBSE9xIkR.mp3
295,Fafá de Belém,Foi Assim,14.67,13.83,28.21,22.42,29.88,15.21,9.33,7.46,11.62,55snJzt0NFIY0unGMjMuw9,tracks/55snJzt0NFIY0unGMjMuw9.mp3
296,Lucky Twice,Lucky,14.14,8.67,22.81,20.71,11.05,35.67,34.57,11.05,7.0,4Td50xcLZQOrOHQeG0vULJ,tracks/4Td50xcLZQOrOHQeG0vULJ.mp3
297,t.A.T.u.,All the Things She Said,25.62,20.69,29.23,19.08,15.54,34.92,46.69,12.0,13.77,4bJygwUKrRgq1stlNXcgMg,tracks/4bJygwUKrRgq1stlNXcgMg.mp3
298,Daft Punk,Lose Yourself To Dance,12.43,19.43,15.76,4.48,15.76,36.67,23.52,9.57,7.95,5CMjjywI0eZMixPeqNd75R,tracks/5CMjjywI0eZMixPeqNd75R.mp3
299,Cult of Luna,Thirtyfour,6.35,15.87,9.68,1.45,5.71,8.9,33.65,38.68,7.94,59mzCn4G9KcuIWoksoe2aq,tracks/59mzCn4G9KcuIWoksoe2aq.mp3
300,Fergie,Big Girls Don't Cry,14.79,18.89,30.37,22.11,22.58,32.53,23.74,3.74,15.89,3Q4WeJmzxuDpzMu9QjQqbM,tracks/3Q4WeJmzxuDpzMu9QjQqbM.mp3
301,Thievery Corporation,The Richest Man in Babylon,10.93,11.73,11.87,11.67,28.07,31.2,29.87,8.27,7.07,20F3FcES8KU4kffMCkFgNN,tracks/20F3FcES8KU4kffMCkFgNN.mp3
302,Kylie Minogue,Skirt,13.29,11.29,11.0,11.14,3.43,37.93,47.36,22.71,0.36,4HS4veWZYPzHvEmVxrVEoy,tracks/4HS4veWZYPzHvEmVxrVEoy.mp3
303,Sia,The Church of What's Happening Now,40.23,34.85,38.77,37.23,48.85,15.77,12.46,10.54,40.85,2NIq6qD7oM7SRT0C7kobr5,tracks/2NIq6qD7oM7SRT0C7kobr5.mp3
304,The Weather Girls,It's Raining Men,24.71,27.86,59.07,20.64,0.86,77.5,63.57,7.36,0.21,4caiYv89C9GZdDD1RzshWd,tracks/4caiYv89C9GZdDD1RzshWd.mp3
305,blink-182,Online Songs,12.85,7.15,24.92,3.08,8.0,58.38,49.62,12.0,1.38,2DcxTfOm8y2UgeP81qdidR,tracks/2DcxTfOm8y2UgeP81qdidR.mp3
306,Darren Styles,Cutting Deep,10.36,26.43,5.29,0.0,5.36,42.21,36.29,27.93,1.71,2GOGJIN0VMUFrHtyKvmkQn,tracks/2GOGJIN0VMUFrHtyKvmkQn.mp3
307,Leo Sayer,More Than I Can Say,12.33,17.29,30.38,22.24,34.95,15.24,8.33,4.95,14.38,3RJ81z1sPLeWEFuCfGaCLC,tracks/3RJ81z1sPLeWEFuCfGaCLC.mp3
308,Air Supply,The One That You Love,22.06,17.0,30.56,42.06,18.19,21.81,15.69,7.31,23.38,3FDAd5vW4P7xe1GBNOLyfD,tracks/3FDAd5vW4P7xe1GBNOLyfD.mp3
309,Mr. Mister,Broken Wings,34.41,24.94,49.59,20.59,26.76,20.71,24.35,3.88,9.82,78FHUZRbFDCG6VkRAQdFLm,tracks/78FHUZRbFDCG6VkRAQdFLm.mp3
310,Hooverphonic,One,19.69,17.62,30.06,34.31,33.75,12.12,6.5,6.62,12.62,6g7ervcGNeDlHFQFXkcSzS,tracks/6g7ervcGNeDlHFQFXkcSzS.mp3
311,Paul McCartney,The Lovely Linda,21.59,12.47,45.59,30.41,54.59,24.71,5.65,6.94,15.0,0Ca2mDERpTFmnttcSt9UcR,tracks/0Ca2mDERpTFmnttcSt9UcR.mp3
312,Owl City,Lucid Dream,28.33,24.33,27.0,17.56,45.11,28.89,15.44,2.22,4.78,4icP6VWlKBLIHzl0bBD4xw,tracks/4icP6VWlKBLIHzl0bBD4xw.mp3
313,Stevie Wonder,I Just Called to Say I Love You,28.91,12.64,47.36,54.73,54.91,48.09,11.82,1.27,13.64,6RNDeRnWsRMjPdNVgupZCs,tracks/6RNDeRnWsRMjPdNVgupZCs.mp3
314,Massive Attack,Mezzanine,13.07,28.86,18.14,6.36,17.07,13.64,22.0,41.14,17.21,67Hna13dNDkZvBpTXRIaOJ,tracks/67Hna13dNDkZvBpTXRIaOJ.mp3
315,Solitude Aeturnus,Seeds of the Desolate,2.06,11.12,8.65,1.12,0.29,7.29,19.41,61.06,6.12,7emF3lKU8NmkrlmDXUTYER,tracks/7emF3lKU8NmkrlmDXUTYER.mp3
316,"Chunk! No, Captain Chunk!",So Close and Yet So Far,13.64,5.71,27.79,7.79,10.07,51.71,49.86,19.21,9.5,4nYV0FQkrOXzruL4xFlKmL,tracks/4nYV0FQkrOXzruL4xFlKmL.mp3
317,Sam Smith,Stay with Me,12.27,14.64,27.91,44.18,34.91,20.09,12.73,3.36,46.64,5Nm9ERjJZ5oyfXZTECKmRt,tracks/5Nm9ERjJZ5oyfXZTECKmRt.mp3
318,The Platters,My Prayer,36.56,23.75,50.56,49.88,36.0,18.19,15.25,5.56,17.38,1ntGJDSakqsaw1KhptKrB5,tracks/1ntGJDSakqsaw1KhptKrB5.mp3
319,Skrillex,First of the Year (Equinox),2.5,11.58,12.17,0.67,1.0,8.58,19.92,44.67,5.0,5i7fZq3chLyCHo3VeB6goD,tracks/5i7fZq3chLyCHo3VeB6goD.mp3
320,Sarah McLachlan,Elsewhere,22.35,12.47,31.12,33.41,37.12,7.0,4.59,6.47,39.47,1hBi66N1p1QyvFTHjnH2jv,tracks/1hBi66N1p1QyvFTHjnH2jv.mp3
321,Lakeside,Fantastic Voyage,17.89,12.0,19.47,3.26,12.84,35.74,30.68,10.26,1.26,0rc9Uwm4vmnQEfx5omLWWF,tracks/0rc9Uwm4vmnQEfx5omLWWF.mp3
322,My Dying Bride,For My Fallen Angel,45.38,25.67,26.14,33.67,44.86,5.52,17.52,8.71,46.76,5oVSFQUi1hBYYRiNeOwfWy,tracks/5oVSFQUi1hBYYRiNeOwfWy.mp3
323,St. Vincent,I Prefer Your Love,22.29,19.18,23.47,11.94,41.71,5.82,7.65,6.65,16.35,0Snb87Z4Zdn6YFMicWA7gx,tracks/0Snb87Z4Zdn6YFMicWA7gx.mp3
324,Wild Cherry,Play That Funky Music,22.15,27.54,33.46,14.23,23.69,58.46,36.0,3.08,2.92,5uuJruktM9fMdN9Va0DUMl,tracks/5uuJruktM9fMdN9Va0DUMl.mp3
325,Sandy,Aquela dos 30,16.52,8.64,9.72,11.96,8.28,45.84,20.08,7.76,1.48,13P1ZQvK9lejmHM6h8Pnbk,tracks/13P1ZQvK9lejmHM6h8Pnbk.mp3
326,Modern Talking,"You're My Heart, You're My Soul",7.59,5.59,15.47,8.53,14.82,24.71,15.71,12.94,5.12,0Zn63G0XTiqXwr1KSmARWz,tracks/0Zn63G0XTiqXwr1KSmARWz.mp3
327,Karma Fields,Build The Cities (feat. Kerli),6.3,13.5,1.6,0.4,5.7,28.9,40.4,28.7,0.3,50fO3coGeBVITFxiYlHSDs,tracks/50fO3coGeBVITFxiYlHSDs.mp3
331,Alfvén,Midsommarvaka,35.67,34.58,8.67,35.42,40.33,28.83,17.58,4.33,0.0,6bnYnAVPzpWLqG4mqC9gc3,tracks/6bnYnAVPzpWLqG4mqC9gc3.mp3
367,Albinoni,"Concerto a cinque No. 2, Op. 9",27.3,23.59,28.37,24.52,34.15,30.78,22.59,6.96,3.59,0Ouz5wpLFbtXjAdxLRydQq,tracks/0Ouz5wpLFbtXjAdxLRydQq.mp3
433,Lauran Hibberd,Sugardaddy,6.92,8.38,17.31,21.15,18.69,34.77,20.85,12.0,2.69,6eXsSF9ufDWqnCJC4GVIsj,tracks/6eXsSF9ufDWqnCJC4GVIsj.mp3
434,Lasgo,Something,15.64,28.07,18.64,5.64,4.86,59.86,51.21,17.79,0.0,3e9L9HiHKcfYLAga28Vmcf,tracks/3e9L9HiHKcfYLAga28Vmcf.mp3
435,Mariah Carey,Want You,14.5,15.0,20.21,20.57,23.57,19.57,27.07,14.14,7.93,0bYg9bo50gSsH3LtXe2SQn,tracks/0bYg9bo50gSsH3LtXe2SQn.mp3
436,The Knife,Heartbeats,16.62,14.0,11.71,14.43,8.81,21.62,18.9,18.38,12.95,2YacpExEbX9tF8IbFlFOo4,tracks/2YacpExEbX9tF8IbFlFOo4.mp3
437,Lake of Tears,So Fell Autumn Rain,9.77,10.8,15.83,2.37,3.37,11.93,28.57,13.73,12.87,2sXOtMnG1wfnNsNUQ6oDPR,tracks/2sXOtMnG1wfnNsNUQ6oDPR.mp3
438,Dire Straits,So Far Away,30.4,24.7,45.8,27.7,29.1,22.0,16.1,6.2,24.9,3pGBIgFdfdnjtHDJR4nbrR,tracks/3pGBIgFdfdnjtHDJR4nbrR.mp3
439,Joss Stone,Headturner,12.38,11.38,34.54,13.08,7.15,43.46,52.46,28.46,0.38,7MX14dwZzEIg84qKdlWTHv,tracks/7MX14dwZzEIg84qKdlWTHv.mp3
440,Panic! at the Disco,Death of a Bachelor,13.19,3.94,13.94,24.06,17.69,9.81,7.44,9.69,1.44,1BECwm5qkaBwlbfo4kpYx8,tracks/1BECwm5qkaBwlbfo4kpYx8.mp3
441,Take That,Love Ain't Here Anymore,17.5,11.5,26.6,29.6,29.4,6.7,6.9,3.3,29.9,1LtwwvNy05VlULpCTogigr,tracks/1LtwwvNy05VlULpCTogigr.mp3
442,Télépopmusik,Genetic World,12.3,15.4,8.8,2.7,17.2,10.4,10.4,11.7,4.1,0uKrhHBDUQ4w5fv4qwOubP,tracks/0uKrhHBDUQ4w5fv4qwOubP.mp3
443,"Hamilton, Joe Frank & Reynolds",Don't Pull Your Love,11.8,11.6,16.47,30.87,28.8,28.07,15.27,10.07,2.4,7tJsTykoo4Jk5JguHTx9W7,tracks/7tJsTykoo4Jk5JguHTx9W7.mp3
444,Diablo Swing Orchestra,Balrog Boogie,7.21,9.93,7.29,0.5,0.79,25.64,32.29,24.93,0.5,65RptVLH4KdgCeEAuPS8WY,tracks/65RptVLH4KdgCeEAuPS8WY.mp3
445,Nat King Cole,Unforgettable,28.83,20.33,62.92,48.83,61.0,16.42,6.25,7.92,20.92,648TTtYB0bH0P8Hfy0FmkL,tracks/648TTtYB0bH0P8Hfy0FmkL.mp3
446,Zendaya,Only When You're Close,9.94,12.72,12.28,7.28,8.11,6.33,16.61,23.22,16.89,7BhxxlLcCCfvixzy8KExZv,tracks/7BhxxlLcCCfvixzy8KExZv.mp3
447,Chris Rea,And you my love,8.2,4.1,19.25,31.8,24.35,12.5,7.15,7.9,16.95,7iJmWC3h8tJOCK4OzPFZ2c,tracks/7iJmWC3h8tJOCK4OzPFZ2c.mp3
448,Imagination,Music and Lights,28.6,17.87,40.8,33.67,22.4,52.33,30.6,4.73,0.47,3kEA66ZM9mCxwhynOxgsLh,tracks/3kEA66ZM9mCxwhynOxgsLh.mp3
449,Five Star,Let Me Be The One,4.29,1.29,20.88,14.12,7.65,36.18,15.71,6.82,1.29,7Ly6unSf5gXUdF3S3nGlSH,tracks/7Ly6unSf5gXUdF3S3nGlSH.mp3
450,Joshua Kadison,Jessie,26.71,17.86,27.5,34.79,30.64,14.29,19.14,8.14,27.43,4n8iSiSWRdaSeSpJMbdk9O,tracks/4n8iSiSWRdaSeSpJMbdk9O.mp3
451,Chaka Khan,So Naughty,13.45,15.64,11.27,20.55,6.73,26.73,33.45,13.18,8.09,1CpsuBEVGtEMR8MqoCa3gK,tracks/1CpsuBEVGtEMR8MqoCa3gK.mp3
452,Bootsy Collins,I'd Rather Be With You,6.71,8.53,25.18,9.65,5.76,18.24,23.35,8.35,8.94,42rFOQqHmXf9IkdwVqkooK,tracks/42rFOQqHmXf9IkdwVqkooK.mp3
453,Foster the People,Pumped Up Kicks,22.05,7.95,40.73,3.95,20.05,39.0,23.09,8.95,8.23,7w87IxuO7BDcJ3YUqCyMTT,tracks/7w87IxuO7BDcJ3YUqCyMTT.mp3
454,Chris de Burgh,The Lady in Red,31.65,22.71,41.82,52.0,33.53,15.18,8.59,5.06,35.29,1GeNWyZtCHbcp3ZWp8GTOO,tracks/1GeNWyZtCHbcp3ZWp8GTOO.mp3
455,Britney Spears,Where Are You Now,5.12,6.69,25.75,26.06,25.69,7.56,4.62,14.19,23.94,4MOBPIIRUgHTBAp0NpgLTm,tracks/4MOBPIIRUgHTBAp0NpgLTm.mp3
456,Armin van Buuren,Not Giving Up On Love,16.33,22.75,12.42,6.33,15.25,39.42,30.83,22.42,4.67,1frLUl7UjAs0eLL2FzJgmA,tracks/1frLUl7UjAs0eLL2FzJgmA.mp3
457,Onuka,Vsesvit,17.56,12.22,4.22,11.0,17.0,28.22,24.67,4.33,11.33,0ROyrrMf9crvLUImY1SoG6,tracks/0ROyrrMf9crvLUImY1SoG6.mp3
458,Sly & The Family Stone,(You Caught Me) Smilin',6.85,5.31,22.08,14.77,16.85,25.62,22.31,8.85,9.15,5XTiyBLVLjqhAGRcJBUC5F,tracks/5XTiyBLVLjqhAGRcJBUC5F.mp3
459,Daddy Was A Milkman,Breathe In,19.56,10.22,16.11,29.61,52.56,10.17,1.83,5.22,10.5,0JD76XBC2uL6A5ZHTKIKHF,tracks/0JD76XBC2uL6A5ZHTKIKHF.mp3
460,Gorillaz,Tomorrow Comes Today,26.43,25.86,27.21,12.21,24.71,24.57,17.79,6.21,22.64,3qdDjz9kOvquEFbvXBYOMQ,tracks/3qdDjz9kOvquEFbvXBYOMQ.mp3
461,Kool & The Gang,Steppin' Out,24.13,17.2,28.33,19.4,20.53,49.27,25.6,9.07,1.73,05NdLBmUVkXlBpel2QR07Y,tracks/05NdLBmUVkXlBpel2QR07Y.mp3
462,Adriana Calcanhotto,Devolva-me,18.0,15.5,32.29,27.79,40.71,5.29,11.14,9.07,26.93,5sz2LrG6jY6u7U0g2k7kws,tracks/5sz2LrG6jY6u7U0g2k7kws.mp3
463,Michael Jackson,Ain't No Sunshine,20.57,15.71,29.0,18.5,12.71,20.71,28.93,10.93,15.07,6ac4lvV0LKQlbHYXJ7vTDb,tracks/6ac4lvV0LKQlbHYXJ7vTDb.mp3
464,Lily Allen,Smile,19.5,10.11,42.56,16.44,31.89,33.78,15.17,7.5,9.33,4aR9bPMAOFySBuQSbVWF3d,tracks/4aR9bPMAOFySBuQSbVWF3d.mp3
465,Christina Aguilera,I Got Trouble,14.0,14.15,27.15,23.08,31.85,23.08,28.08,11.46,5.62,6eRY1OgTVUeqtyEviApFaw,tracks/6eRY1OgTVUeqtyEviApFaw.mp3
466,Hot Chip,So Glad to See You,11.1,9.5,16.5,24.4,20.1,14.4,7.1,11.5,5.9,0PCYXSyESysJ1Eodxjyn9p,tracks/0PCYXSyESysJ1Eodxjyn9p.mp3
467,Loreen,My Heart Is Refusing Me,29.6,20.3,21.5,6.2,9.7,36.4,55.6,17.2,3.8,0sg9jTiFokw2U15qGK7wPK,tracks/0sg9jTiFokw2U15qGK7wPK.mp3
468,Leftfield,Release the Pressure,18.71,10.36,12.93,15.64,24.93,31.64,21.07,9.36,9.43,6SpP5cpf4dY8AFFtXEfqmA,tracks/6SpP5cpf4dY8AFFtXEfqmA.mp3
469,Modestep,Sunlight,2.69,9.88,4.0,1.38,4.44,13.75,18.62,39.44,4.31,0Ix7doBgImhoWJfDnwezP1,tracks/0Ix7doBgImhoWJfDnwezP1.mp3
470,The Whitest Boy Alive,Keep a Secret,12.69,11.69,14.31,5.12,20.0,8.31,4.0,22.0,11.75,7pHWIlKBTQJM9oErC4OzSP,tracks/7pHWIlKBTQJM9oErC4OzSP.mp3
471,Patti LaBelle,Over The Rainbow,34.15,30.69,24.23,20.08,15.0,21.23,45.54,8.23,6.31,3e7isfNT5Z8TSms4zPkMPV,tracks/3e7isfNT5Z8TSms4zPkMPV.mp3
472,M2M,Don't Say You Love Me,11.27,8.93,23.4,30.53,19.4,34.67,6.73,6.87,6.8,65i1UPsUtPlEVzewEZR6sY,tracks/65i1UPsUtPlEVzewEZR6sY.mp3
473,Billie Holiday,Lady Sings The Blues,14.79,13.5,30.07,27.71,30.36,7.29,4.71,3.0,19.29,6rX7Rgi2O5csTzLan7rL0c,tracks/6rX7Rgi2O5csTzLan7rL0c.mp3
474,Sixpence None the Richer,Kiss Me,15.86,6.93,39.64,37.5,26.36,24.86,5.5,6.86,6.14,754kgU5rWscRTfvlsuEwFp,tracks/754kgU5rWscRTfvlsuEwFp.mp3
475,Vanessa da Mata,Eu Não Tenho,13.56,5.39,13.83,16.72,22.17,19.89,4.94,4.67,4.0,3RfOd8VhrhsV7othWm5mNF,tracks/3RfOd8VhrhsV7othWm5mNF.mp3
476,Ben E. King,Stand By Me,33.75,32.62,66.12,57.38,44.88,49.0,16.75,5.88,37.0,3SdTKo2uVsxFblQjpScoHy,tracks/3SdTKo2uVsxFblQjpScoHy.mp3
477,Coldplay,Animals,10.58,8.83,29.92,14.42,18.42,0.58,8.17,26.08,28.58,59tjfzA98dum1TXhJ4XWoe,tracks/59tjfzA98dum1TXhJ4XWoe.mp3
478,Santigold,You'll Find A Way,31.67,20.92,12.67,5.25,9.92,53.0,49.58,28.5,3.75,1ZUj6t3goYbtWrCKFnwzIf,tracks/1ZUj6t3goYbtWrCKFnwzIf.mp3
479,The Pointer Sisters,I'm So Excited,18.18,15.71,50.59,15.24,13.24,69.24,48.35,9.94,1.35,1ot6jEe4w4hYnsOPjd3xKQ,tracks/1ot6jEe4w4hYnsOPjd3xKQ.mp3
480,Armin van Buuren,This Is What It Feels Like,18.86,17.93,20.36,16.14,8.79,29.86,22.43,7.64,11.5,5GjnIpUlLGEIYk052ISOw9,tracks/5GjnIpUlLGEIYk052ISOw9.mp3
481,Cissy Houston,Think It Over,20.27,21.64,21.45,11.45,11.64,47.45,40.73,18.0,7.45,09HKieZL31JLWTb2s5tm6I,tracks/09HKieZL31JLWTb2s5tm6I.mp3
482,Chris Rea,Fool (If You Think It's Over),11.45,13.85,37.1,28.65,45.95,31.95,5.5,5.25,13.95,0UHiH4dy1hXULYl8CgNxRV,tracks/0UHiH4dy1hXULYl8CgNxRV.mp3
483,Katy B,Katy on a Mission,10.39,7.83,3.06,2.0,2.5,10.06,23.5,15.56,1.94,47uhrF6IvyE2eUyyfLAEzf,tracks/47uhrF6IvyE2eUyyfLAEzf.mp3
484,Emma Bunton,Take My Breath Away,10.08,2.75,22.42,43.58,19.33,15.25,2.25,0.42,7.33,0wVPsQNQ4tsjTTf2LIdOA7,tracks/0wVPsQNQ4tsjTTf2LIdOA7.mp3
485,Electric Wizard,Vinum Sabbathi,4.54,6.08,6.0,1.73,2.88,8.65,36.38,41.92,5.42,3d1uPNDeeceYhoNNo4pnv8,tracks/3d1uPNDeeceYhoNNo4pnv8.mp3
486,Noisestorm,Breakdown VIP,24.62,38.77,32.54,10.31,17.38,25.92,37.69,17.85,3.0,1wrKexsB7sCKsRyfu4J4QT,tracks/1wrKexsB7sCKsRyfu4J4QT.mp3
487,High on Fire,Rumors of War,11.69,5.31,13.46,0.15,0.15,13.69,37.08,66.92,4.85,33XdEVFV3YFrKQ0y99t6Sf,tracks/33XdEVFV3YFrKQ0y99t6Sf.mp3
488,Caetano Veloso,Alexandre,14.07,5.57,9.43,10.5,10.5,40.29,11.07,9.29,2.36,4fpHhkV7T4WEwdkpN5tL6R,tracks/4fpHhkV7T4WEwdkpN5tL6R.mp3
489,Oliver Cheatham,Get Down Saturday Night,20.0,13.79,14.21,6.68,8.05,52.74,30.32,16.68,2.53,0IZVSGXU9oBi6mbsWyLas6,tracks/0IZVSGXU9oBi6mbsWyLas6.mp3
490,Bruno Mars,Just the Way You Are,20.29,10.67,45.86,40.24,22.33,45.43,16.81,5.05,9.57,7BqBn9nzAq8spo5e7cZ0dJ,tracks/7BqBn9nzAq8spo5e7cZ0dJ.mp3
491,Kelis,Rolling Through the Hood,5.0,6.36,17.73,15.45,22.91,17.55,20.36,3.91,8.0,7bjpWKh3teUpsNgdpcq7eb,tracks/7bjpWKh3teUpsNgdpcq7eb.mp3
492,OutKast,Hey Ya!,8.38,4.75,32.12,1.12,9.0,53.88,40.0,3.62,1.12,2PpruBYCo4H7WOBJ7Q2EwM,tracks/2PpruBYCo4H7WOBJ7Q2EwM.mp3
493,Lolly,Viva La Radio,21.58,12.42,24.0,11.33,11.33,39.33,23.17,24.83,1.42,0N08KoCLrMNg9liFPucWhU,tracks/0N08KoCLrMNg9liFPucWhU.mp3
494,Kings of Convenience,I'd Rather Dance With You,26.64,11.36,26.91,33.91,24.09,30.91,16.36,6.45,5.09,4hGOhC87bn7JBdYykOJJvJ,tracks/4hGOhC87bn7JBdYykOJJvJ.mp3
495,B.J. Thomas,Rock And Roll Lullaby,14.5,10.56,35.25,28.38,36.5,17.94,2.0,0.62,12.44,3aVNV6pawEERvfdurW66ZT,tracks/3aVNV6pawEERvfdurW66ZT.mp3
496,Princess Chelsea,When The World Turns Grey,21.2,23.07,26.0,19.47,24.0,6.27,10.13,14.0,27.8,3Oe4aYH6ifYIIYsX2isIR4,tracks/3Oe4aYH6ifYIIYsX2isIR4.mp3
497,Aqua,Barbie Girl,10.53,19.63,58.37,5.58,10.0,60.42,21.63,0.53,0.53,2RSOzvKUnfDDrb2nQPfpQU,tracks/2RSOzvKUnfDDrb2nQPfpQU.mp3
498,Milli Vanilli,I'm Gonna Miss You,25.5,14.5,28.75,44.5,48.31,37.56,8.12,7.69,14.31,2dThEJP9S344qzNhePcSzj,tracks/2dThEJP9S344qzNhePcSzj.mp3
499,Bobby Womack,Woman's Gotta Have It,13.36,12.64,29.91,23.09,18.09,24.73,13.91,0.0,4.45,20HCbY9qPpi1H2pP2MRUWy,tracks/20HCbY9qPpi1H2pP2MRUWy.mp3
500,Dido,Don't Leave Home,32.75,20.33,42.42,38.0,35.83,19.67,20.42,6.75,30.33,4N7e9ltiDKb19Swu2CWqMB,tracks/4N7e9ltiDKb19Swu2CWqMB.mp3
501,En Vogue,Beat of Love,14.0,8.44,6.44,18.44,19.33,7.0,5.22,27.0,3.22,2CHSYLRP4AQgyKV17Qc9QO,tracks/2CHSYLRP4AQgyKV17Qc9QO.mp3
502,Ed Sheeran,Happier,23.29,15.14,39.29,30.71,25.21,5.0,7.0,10.29,43.57,2RttW7RAu5nOAfq6YFvApB,tracks/2RttW7RAu5nOAfq6YFvApB.mp3
503,Gorillaz,Feel good Inc.,62.92,26.08,17.54,24.85,29.85,48.0,23.31,7.38,0.0,0d28khcov6AiegSCpG5TuT,tracks/0d28khcov6AiegSCpG5TuT.mp3
504,Jamiroquai,Virtual Insanity,61.77,11.0,29.62,18.38,24.85,45.0,38.08,0.0,0.92,2Bxt2qamL6iu0XN0Td484J,tracks/2Bxt2qamL6iu0XN0Td484J.mp3
505,Jose Gonzales,Heartbeats,50.83,21.08,38.92,52.58,52.08,0.0,9.17,0.0,9.33,11X4Gw3T4hoktVruLgTnm1,tracks/11X4Gw3T4hoktVruLgTnm1.mp3
506,Aerosmith,I Don't Want To Miss A Thing,39.17,19.75,53.42,47.58,42.08,44.25,31.33,7.42,12.42,225xvV8r1yKMHErSWivnow,tracks/225xvV8r1yKMHErSWivnow.mp3
507,Sugababes,Push The Button,45.0,14.73,24.91,12.55,12.0,57.36,42.45,17.73,6.91,3EDS89HeAhHiZKlljciK0a,tracks/3EDS89HeAhHiZKlljciK0a.mp3
508,Boy,Little Numbers,58.17,29.17,17.58,25.5,31.42,54.0,14.0,0.0,3.5,34UMrasAWi3VHMWpMePxGu,tracks/34UMrasAWi3VHMWpMePxGu.mp3
509,Neil Diamind,Sweet Caroline,39.0,23.83,29.33,20.33,6.83,53.92,18.42,0.0,0.0,62AuGbAkt8Ox2IrFFb8GKV,tracks/62AuGbAkt8Ox2IrFFb8GKV.mp3
510,Elton John,Your Song,30.23,24.06,37.66,23.46,22.06,21.57,25.94,5.66,20.74,38zsOOcu31XbbYj9BIPUF1,tracks/38zsOOcu31XbbYj9BIPUF1.mp3
511,Lady Gaga,Pokerface,23.53,14.09,30.59,0.0,11.53,67.76,43.15,3.21,0.0,1QV6tiMFM6fSOKOGLMHYYg,tracks/1QV6tiMFM6fSOKOGLMHYYg.mp3
